00:00:20.836 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - maven
00:00:20.837 [ApplicationImpl pooled thread 10] INFO  com.browserstack.utils.Helpers - null
00:14:23.321 [ApplicationImpl pooled thread 13] INFO  c.b.l.BrowserStackRunExtension - testng
00:14:23.321 [ApplicationImpl pooled thread 13] INFO  com.browserstack.utils.Helpers - null
00:14:23.322 [ApplicationImpl pooled thread 13] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:14:37.021 [ApplicationImpl pooled thread 13] INFO  c.b.l.BrowserStackRunExtension - testng
00:14:37.021 [ApplicationImpl pooled thread 13] INFO  com.browserstack.utils.Helpers - null
00:14:37.021 [ApplicationImpl pooled thread 13] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:14:57.428 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - testng
00:14:57.428 [ApplicationImpl pooled thread 4] INFO  com.browserstack.utils.Helpers - null
00:14:57.429 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:46:13.658 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - testng
00:46:13.658 [ApplicationImpl pooled thread 33] INFO  com.browserstack.utils.Helpers - null
00:46:13.659 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:47:52.644 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - testng
00:47:52.644 [ApplicationImpl pooled thread 42] INFO  com.browserstack.utils.Helpers - null
00:47:52.645 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:48:37.802 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - testng
00:48:37.802 [ApplicationImpl pooled thread 42] INFO  com.browserstack.utils.Helpers - null
00:48:37.802 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:48:58.770 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - testng
00:48:58.770 [ApplicationImpl pooled thread 42] INFO  com.browserstack.utils.Helpers - null
00:48:58.771 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
